name,FIPS,"# Total Population, 2020 [Estimated]","Median Household Income, 2020 [Estimated]","% Race | Black or African American alone, 2020 [Estimated]","% Poverty Status by Age | In Poverty, 2020 [Estimated]","% Hispanic or Latino | Hispanic or Latino, 2020 [Estimated]"
"CT000100, Philadelphia County, PA",42101000100,4364,107836.8231,6.6453,4.56,8.1806
"CT000200, Philadelphia County, PA",42101000200,2924,40665.6,4.3434,26.9904,7.6949
"CT000300, Philadelphia County, PA",42101000300,3422,89457.2,7.2764,9.0475,5.1432
"CT000401, Philadelphia County, PA",42101000401,2434,66371.06572,10.9285,12.2975,2.9581
"CT000402, Philadelphia County, PA",42101000402,4338,84150.06254,5.6247,5.7861,2.0286
"CT000500, Philadelphia County, PA",42101000500,2601,45268.02386,32.4491,28.8146,10.1115
"CT000600, Philadelphia County, PA",42101000600,1156,86590.88976,3.6332,8.8474,6.9204
"CT000700, Philadelphia County, PA",42101000700,3924,63166.99707,12.5637,10.261,6.2946
"CT000801, Philadelphia County, PA",42101000801,1372,132093.8116,0,4.918,6.7784
"CT000803, Philadelphia County, PA",42101000803,2598,62575.99333,5.0038,6.0816,6.4665
"CT000804, Philadelphia County, PA",42101000804,5274,103996.6415,2.0857,9.4615,3.4509
"CT000901, Philadelphia County, PA",42101000901,2001,48132.72361,3.4983,24.4878,3.7481
"CT000902, Philadelphia County, PA",42101000902,2910,59861.71711,6.701,11.0195,4.2268
"CT001001, Philadelphia County, PA",42101001001,2604,107324.8072,2.3041,4.6851,2.4578
"CT001002, Philadelphia County, PA",42101001002,3408,117397.4045,3.0516,4.6068,3.0516
"CT001101, Philadelphia County, PA",42101001101,3776,63982.55366,10.8316,27.1909,8.9778
"CT001102, Philadelphia County, PA",42101001102,2616,81544.44715,8.6009,13.3929,0.9174
"CT001201, Philadelphia County, PA",42101001201,4007,116575.4204,5.5653,3.7684,7.5368
"CT001202, Philadelphia County, PA",42101001202,5153,86042.25701,4.3858,8.9712,7.7042
"CT001300, Philadelphia County, PA",42101001300,7203,121589.32,23.046,3.8467,6.0392
"CT001400, Philadelphia County, PA",42101001400,4092,93928.13921,24.4624,14.113,1.3196
"CT001500, Philadelphia County, PA",42101001500,3326,67696.6,14.1612,6.1286,6.344
"CT001600, Philadelphia County, PA",42101001600,2530,106047.7864,3.3992,6.2846,5.6917
