name,allfreq
"CT000100, Philadelphia County, PA",261
"CT000200, Philadelphia County, PA",166
"CT000300, Philadelphia County, PA",161
"CT000401, Philadelphia County, PA",90
"CT000402, Philadelphia County, PA",206
"CT000500, Philadelphia County, PA",227
"CT000600, Philadelphia County, PA",116
"CT000700, Philadelphia County, PA",93
"CT000801, Philadelphia County, PA",8
"CT000803, Philadelphia County, PA",31
"CT000804, Philadelphia County, PA",52
"CT000901, Philadelphia County, PA",73
"CT000902, Philadelphia County, PA",28
"CT001001, Philadelphia County, PA",43
"CT001002, Philadelphia County, PA",60
"CT001101, Philadelphia County, PA",84
"CT001102, Philadelphia County, PA",64
"CT001201, Philadelphia County, PA",40
"CT001202, Philadelphia County, PA",59
"CT001300, Philadelphia County, PA",90
"CT001400, Philadelphia County, PA",42
"CT001500, Philadelphia County, PA",55
"CT001600, Philadelphia County, PA",30
"CT001700, Philadelphia County, PA",16
"CT001800, Philadelphia County, PA",45
"CT001900, Philadelphia County, PA",82
"CT002000, Philadelphia County, PA",26
"CT002100, Philadelphia County, PA",28
"CT002200, Philadelphia County, PA",31
"CT002300, Philadelphia County, PA",47
"CT002400, Philadelphia County, PA",137
"CT002500, Philadelphia County, PA",60
"CT002701, Philadelphia County, PA",24
"CT002702, Philadelphia County, PA",38
"CT002801, Philadelphia County, PA",26
"CT002802, Philadelphia County, PA",48
"CT002900, Philadelphia County, PA",90
"CT003001, Philadelphia County, PA",34
"CT003002, Philadelphia County, PA",25
"CT003100, Philadelphia County, PA",54
"CT003200, Philadelphia County, PA",60
"CT003300, Philadelphia County, PA",211
"CT003600, Philadelphia County, PA",141
"CT003701, Philadelphia County, PA",76
"CT003702, Philadelphia County, PA",60
"CT003800, Philadelphia County, PA",136
"CT003901, Philadelphia County, PA",78
"CT003902, Philadelphia County, PA",70
"CT004001, Philadelphia County, PA",97
"CT004002, Philadelphia County, PA",65
"CT004101, Philadelphia County, PA",88
"CT004102, Philadelphia County, PA",94
"CT004201, Philadelphia County, PA",51
"CT004202, Philadelphia County, PA",74
"CT005000, Philadelphia County, PA",6
"CT005400, Philadelphia County, PA",58
"CT005500, Philadelphia County, PA",84
"CT005600, Philadelphia County, PA",53
"CT006000, Philadelphia County, PA",180
"CT006100, Philadelphia County, PA",68
"CT006200, Philadelphia County, PA",107
"CT006300, Philadelphia County, PA",172
"CT006400, Philadelphia County, PA",154
"CT006500, Philadelphia County, PA",197
"CT006600, Philadelphia County, PA",143
"CT006700, Philadelphia County, PA",257
"CT006900, Philadelphia County, PA",65
"CT007000, Philadelphia County, PA",114
"CT007101, Philadelphia County, PA",82
"CT007102, Philadelphia County, PA",102
"CT007200, Philadelphia County, PA",159
"CT007300, Philadelphia County, PA",93
"CT007400, Philadelphia County, PA",181
"CT007700, Philadelphia County, PA",43
"CT007800, Philadelphia County, PA",91
"CT007900, Philadelphia County, PA",59
"CT008000, Philadelphia County, PA",106
"CT008101, Philadelphia County, PA",81
"CT008102, Philadelphia County, PA",103
"CT008200, Philadelphia County, PA",224
"CT008301, Philadelphia County, PA",197
"CT008302, Philadelphia County, PA",166
"CT008400, Philadelphia County, PA",211
"CT008500, Philadelphia County, PA",341
"CT008601, Philadelphia County, PA",53
"CT008602, Philadelphia County, PA",200
"CT008701, Philadelphia County, PA",67
"CT008702, Philadelphia County, PA",92
"CT008801, Philadelphia County, PA",108
"CT008802, Philadelphia County, PA",130
"CT009000, Philadelphia County, PA",120
"CT009100, Philadelphia County, PA",92
"CT009200, Philadelphia County, PA",76
"CT009300, Philadelphia County, PA",101
"CT009400, Philadelphia County, PA",64
