NAME,imp_inf
"CT000100, Philadelphia County, PA",1
"CT000200, Philadelphia County, PA",1
"CT000300, Philadelphia County, PA",1
"CT000401, Philadelphia County, PA",1
"CT000402, Philadelphia County, PA",1
"CT000500, Philadelphia County, PA",1
"CT000600, Philadelphia County, PA",1
"CT000700, Philadelphia County, PA",1
"CT000801, Philadelphia County, PA",1
"CT000803, Philadelphia County, PA",1
"CT000804, Philadelphia County, PA",1
"CT000901, Philadelphia County, PA",1
"CT000902, Philadelphia County, PA",1
"CT001001, Philadelphia County, PA",1
"CT001002, Philadelphia County, PA",1
"CT001101, Philadelphia County, PA",1
"CT001102, Philadelphia County, PA",1
"CT001201, Philadelphia County, PA",1
"CT001202, Philadelphia County, PA",1
"CT001300, Philadelphia County, PA",1
"CT001400, Philadelphia County, PA",0
"CT001500, Philadelphia County, PA",1
"CT001600, Philadelphia County, PA",1
"CT001700, Philadelphia County, PA",1
"CT001800, Philadelphia County, PA",1
"CT001900, Philadelphia County, PA",0
"CT002000, Philadelphia County, PA",0
"CT002100, Philadelphia County, PA",0
"CT002200, Philadelphia County, PA",0
"CT002300, Philadelphia County, PA",1
"CT002400, Philadelphia County, PA",1
"CT002500, Philadelphia County, PA",1
"CT002701, Philadelphia County, PA",0
"CT002702, Philadelphia County, PA",0
"CT002801, Philadelphia County, PA",0
"CT002802, Philadelphia County, PA",0
"CT002900, Philadelphia County, PA",1
"CT003001, Philadelphia County, PA",0
"CT003002, Philadelphia County, PA",0
"CT003100, Philadelphia County, PA",0
"CT003200, Philadelphia County, PA",1
"CT003300, Philadelphia County, PA",1
"CT003600, Philadelphia County, PA",1
"CT003701, Philadelphia County, PA",1
"CT003702, Philadelphia County, PA",1
"CT003800, Philadelphia County, PA",0
"CT003901, Philadelphia County, PA",0
"CT003902, Philadelphia County, PA",0
"CT004001, Philadelphia County, PA",0
"CT004002, Philadelphia County, PA",1
"CT004101, Philadelphia County, PA",0
"CT004102, Philadelphia County, PA",0
"CT004201, Philadelphia County, PA",0
"CT004202, Philadelphia County, PA",0
"CT005400, Philadelphia County, PA",0
"CT005500, Philadelphia County, PA",1
"CT005600, Philadelphia County, PA",1
"CT006000, Philadelphia County, PA",1
"CT006100, Philadelphia County, PA",1
"CT006200, Philadelphia County, PA",1
"CT006300, Philadelphia County, PA",0
"CT006400, Philadelphia County, PA",0
"CT006500, Philadelphia County, PA",0
"CT006600, Philadelphia County, PA",0
"CT006700, Philadelphia County, PA",1
"CT006900, Philadelphia County, PA",1
"CT007000, Philadelphia County, PA",0
"CT007101, Philadelphia County, PA",0
"CT007102, Philadelphia County, PA",0
"CT007200, Philadelphia County, PA",0
"CT007300, Philadelphia County, PA",0
"CT007400, Philadelphia County, PA",1
"CT007700, Philadelphia County, PA",1
"CT007800, Philadelphia County, PA",0
"CT007900, Philadelphia County, PA",0
"CT008000, Philadelphia County, PA",0
"CT008101, Philadelphia County, PA",0
"CT008102, Philadelphia County, PA",0
"CT008200, Philadelphia County, PA",1
"CT008301, Philadelphia County, PA",1
"CT008302, Philadelphia County, PA",1
"CT008400, Philadelphia County, PA",1
"CT008500, Philadelphia County, PA",1
"CT008601, Philadelphia County, PA",0
"CT008602, Philadelphia County, PA",1
"CT008701, Philadelphia County, PA",1
"CT008702, Philadelphia County, PA",1
"CT008801, Philadelphia County, PA",1
"CT008802, Philadelphia County, PA",1
"CT009000, Philadelphia County, PA",1
"CT009100, Philadelphia County, PA",0
"CT009200, Philadelphia County, PA",1
"CT009300, Philadelphia County, PA",0
"CT009400, Philadelphia County, PA",0
"CT009500, Philadelphia County, PA",0
"CT009600, Philadelphia County, PA",0
"CT009801, Philadelphia County, PA",0
"CT009802, Philadelphia County, PA",0
"CT010000, Philadelphia County, PA",0
"CT010100, Philadelphia County, PA",0
"CT010200, Philadelphia County, PA",0
"CT010300, Philadelphia County, PA",0
"CT010400, Philadelphia County, PA",0
"CT010500, Philadelphia County, PA",0
"CT010600, Philadelphia County, PA",0
"CT010700, Philadelphia County, PA",0
"CT010800, Philadelphia County, PA",1
"CT010900, Philadelphia County, PA",1
"CT011000, Philadelphia County, PA",0
"CT011100, Philadelphia County, PA",0
"CT011200, Philadelphia County, PA",0
"CT011300, Philadelphia County, PA",0
"CT011400, Philadelphia County, PA",0
"CT011500, Philadelphia County, PA",0
"CT011700, Philadelphia County, PA",0
"CT011800, Philadelphia County, PA",0
"CT011900, Philadelphia County, PA",1
"CT012000, Philadelphia County, PA",1
"CT012100, Philadelphia County, PA",1
"CT012201, Philadelphia County, PA",0
"CT012203, Philadelphia County, PA",0
"CT012204, Philadelphia County, PA",0
"CT012500, Philadelphia County, PA",1
"CT013100, Philadelphia County, PA",0
"CT013200, Philadelphia County, PA",1
"CT013300, Philadelphia County, PA",1
"CT013401, Philadelphia County, PA",1
"CT013402, Philadelphia County, PA",0
"CT013500, Philadelphia County, PA",0
"CT013601, Philadelphia County, PA",1
"CT013602, Philadelphia County, PA",0
"CT013700, Philadelphia County, PA",1
"CT013800, Philadelphia County, PA",0
"CT013900, Philadelphia County, PA",0
"CT014000, Philadelphia County, PA",0
"CT014100, Philadelphia County, PA",1
"CT014200, Philadelphia County, PA",1
"CT014300, Philadelphia County, PA",1
"CT014400, Philadelphia County, PA",1
"CT014500, Philadelphia County, PA",0
"CT014600, Philadelphia County, PA",1
"CT014700, Philadelphia County, PA",0
"CT014800, Philadelphia County, PA",0
"CT014900, Philadelphia County, PA",0
"CT015101, Philadelphia County, PA",0
"CT015102, Philadelphia County, PA",0
"CT015200, Philadelphia County, PA",0
"CT015300, Philadelphia County, PA",0
"CT015600, Philadelphia County, PA",1
"CT015700, Philadelphia County, PA",0
"CT015800, Philadelphia County, PA",0
"CT016000, Philadelphia County, PA",0
"CT016100, Philadelphia County, PA",0
"CT016200, Philadelphia County, PA",1
"CT016300, Philadelphia County, PA",1
"CT016400, Philadelphia County, PA",0
"CT016500, Philadelphia County, PA",0
"CT016600, Philadelphia County, PA",0
"CT016701, Philadelphia County, PA",0
"CT016702, Philadelphia County, PA",0
"CT016800, Philadelphia County, PA",0
"CT016901, Philadelphia County, PA",0
"CT016902, Philadelphia County, PA",0
"CT017000, Philadelphia County, PA",1
"CT017100, Philadelphia County, PA",0
"CT017201, Philadelphia County, PA",0
"CT017202, Philadelphia County, PA",0
"CT017300, Philadelphia County, PA",0
"CT017400, Philadelphia County, PA",0
"CT017500, Philadelphia County, PA",0
"CT017601, Philadelphia County, PA",1
"CT017602, Philadelphia County, PA",0
"CT017701, Philadelphia County, PA",0
"CT017702, Philadelphia County, PA",0
"CT017800, Philadelphia County, PA",0
"CT017900, Philadelphia County, PA",0
"CT018001, Philadelphia County, PA",0
"CT018002, Philadelphia County, PA",0
"CT018300, Philadelphia County, PA",1
"CT018400, Philadelphia County, PA",0
"CT018800, Philadelphia County, PA",0
"CT019000, Philadelphia County, PA",0
"CT019100, Philadelphia County, PA",0
"CT019200, Philadelphia County, PA",0
"CT019501, Philadelphia County, PA",0
"CT019502, Philadelphia County, PA",0
"CT019700, Philadelphia County, PA",0
"CT019800, Philadelphia County, PA",0
"CT019900, Philadelphia County, PA",0
"CT020000, Philadelphia County, PA",0
"CT020101, Philadelphia County, PA",0
"CT020102, Philadelphia County, PA",0
"CT020200, Philadelphia County, PA",0
"CT020300, Philadelphia County, PA",0
"CT020400, Philadelphia County, PA",0
"CT020500, Philadelphia County, PA",1
"CT020600, Philadelphia County, PA",1
"CT020700, Philadelphia County, PA",0
"CT020800, Philadelphia County, PA",0
"CT020900, Philadelphia County, PA",0
"CT021000, Philadelphia County, PA",0
"CT021100, Philadelphia County, PA",0
"CT021200, Philadelphia County, PA",0
"CT021300, Philadelphia County, PA",0
"CT021400, Philadelphia County, PA",0
"CT021500, Philadelphia County, PA",0
"CT021600, Philadelphia County, PA",0
"CT021700, Philadelphia County, PA",0
"CT021800, Philadelphia County, PA",0
"CT021900, Philadelphia County, PA",0
"CT022000, Philadelphia County, PA",0
"CT023100, Philadelphia County, PA",0
"CT023500, Philadelphia County, PA",1
"CT023600, Philadelphia County, PA",1
"CT023700, Philadelphia County, PA",0
"CT023800, Philadelphia County, PA",0
"CT023900, Philadelphia County, PA",0
"CT024000, Philadelphia County, PA",0
"CT024100, Philadelphia County, PA",0
"CT024200, Philadelphia County, PA",0
"CT024300, Philadelphia County, PA",0
"CT024400, Philadelphia County, PA",0
"CT024500, Philadelphia County, PA",0
"CT024600, Philadelphia County, PA",0
"CT024700, Philadelphia County, PA",0
"CT024800, Philadelphia County, PA",0
"CT024900, Philadelphia County, PA",0
"CT025200, Philadelphia County, PA",0
"CT025300, Philadelphia County, PA",0
"CT025400, Philadelphia County, PA",0
"CT025500, Philadelphia County, PA",0
"CT025600, Philadelphia County, PA",0
"CT025700, Philadelphia County, PA",0
"CT025800, Philadelphia County, PA",0
"CT025900, Philadelphia County, PA",0
"CT026000, Philadelphia County, PA",0
"CT026100, Philadelphia County, PA",0
"CT026200, Philadelphia County, PA",0
"CT026301, Philadelphia County, PA",0
"CT026302, Philadelphia County, PA",0
"CT026400, Philadelphia County, PA",0
"CT026500, Philadelphia County, PA",0
"CT026600, Philadelphia County, PA",0
"CT026700, Philadelphia County, PA",1
"CT026800, Philadelphia County, PA",1
"CT026900, Philadelphia County, PA",0
"CT027000, Philadelphia County, PA",1
"CT027100, Philadelphia County, PA",1
"CT027200, Philadelphia County, PA",1
"CT027300, Philadelphia County, PA",0
"CT027401, Philadelphia County, PA",0
"CT027402, Philadelphia County, PA",0
"CT027500, Philadelphia County, PA",0
"CT027600, Philadelphia County, PA",0
"CT027700, Philadelphia County, PA",1
"CT027800, Philadelphia County, PA",0
"CT027901, Philadelphia County, PA",0
"CT027902, Philadelphia County, PA",0
"CT028000, Philadelphia County, PA",0
"CT028100, Philadelphia County, PA",0
"CT028200, Philadelphia County, PA",0
"CT028300, Philadelphia County, PA",0
"CT028400, Philadelphia County, PA",0
"CT028500, Philadelphia County, PA",0
"CT028600, Philadelphia County, PA",0
"CT028700, Philadelphia County, PA",0
"CT028800, Philadelphia County, PA",0
"CT028901, Philadelphia County, PA",1
"CT028902, Philadelphia County, PA",1
"CT029000, Philadelphia County, PA",1
"CT029100, Philadelphia County, PA",0
"CT029200, Philadelphia County, PA",0
"CT029300, Philadelphia County, PA",0
"CT029400, Philadelphia County, PA",1
"CT029800, Philadelphia County, PA",0
"CT029900, Philadelphia County, PA",0
"CT030000, Philadelphia County, PA",1
"CT030100, Philadelphia County, PA",1
"CT030200, Philadelphia County, PA",0
"CT030501, Philadelphia County, PA",0
"CT030502, Philadelphia County, PA",0
"CT030600, Philadelphia County, PA",1
"CT030700, Philadelphia County, PA",1
"CT030800, Philadelphia County, PA",0
"CT030900, Philadelphia County, PA",0
"CT031000, Philadelphia County, PA",0
"CT031101, Philadelphia County, PA",0
"CT031102, Philadelphia County, PA",0
"CT031200, Philadelphia County, PA",0
"CT031300, Philadelphia County, PA",0
"CT031401, Philadelphia County, PA",0
"CT031402, Philadelphia County, PA",1
"CT031501, Philadelphia County, PA",1
"CT031502, Philadelphia County, PA",1
"CT031600, Philadelphia County, PA",0
"CT031700, Philadelphia County, PA",0
"CT031800, Philadelphia County, PA",0
"CT031900, Philadelphia County, PA",0
"CT032000, Philadelphia County, PA",0
"CT032100, Philadelphia County, PA",0
"CT032300, Philadelphia County, PA",0
"CT032500, Philadelphia County, PA",0
"CT032600, Philadelphia County, PA",0
"CT032900, Philadelphia County, PA",1
"CT033000, Philadelphia County, PA",0
"CT033101, Philadelphia County, PA",1
"CT033102, Philadelphia County, PA",0
"CT033200, Philadelphia County, PA",1
"CT033300, Philadelphia County, PA",1
"CT033400, Philadelphia County, PA",0
"CT033500, Philadelphia County, PA",0
"CT033600, Philadelphia County, PA",0
"CT033701, Philadelphia County, PA",0
"CT033702, Philadelphia County, PA",0
"CT033800, Philadelphia County, PA",0
"CT033900, Philadelphia County, PA",0
"CT034000, Philadelphia County, PA",0
"CT034100, Philadelphia County, PA",0
"CT034200, Philadelphia County, PA",0
"CT034400, Philadelphia County, PA",0
"CT034501, Philadelphia County, PA",0
"CT034502, Philadelphia County, PA",0
"CT034600, Philadelphia County, PA",0
"CT034701, Philadelphia County, PA",0
"CT034702, Philadelphia County, PA",1
"CT034801, Philadelphia County, PA",1
"CT034802, Philadelphia County, PA",1
"CT034803, Philadelphia County, PA",0
"CT034900, Philadelphia County, PA",1
"CT035100, Philadelphia County, PA",1
"CT035200, Philadelphia County, PA",1
"CT035301, Philadelphia County, PA",1
"CT035302, Philadelphia County, PA",1
"CT035500, Philadelphia County, PA",0
"CT035601, Philadelphia County, PA",0
"CT035602, Philadelphia County, PA",0
"CT035701, Philadelphia County, PA",0
"CT035702, Philadelphia County, PA",0
"CT035800, Philadelphia County, PA",0
"CT035900, Philadelphia County, PA",0
"CT036000, Philadelphia County, PA",0
"CT036100, Philadelphia County, PA",1
"CT036201, Philadelphia County, PA",0
"CT036202, Philadelphia County, PA",1
"CT036203, Philadelphia County, PA",0
