name,bikepedfreq
"CT000100, Philadelphia County, PA",47
"CT000200, Philadelphia County, PA",54
"CT000300, Philadelphia County, PA",54
"CT000401, Philadelphia County, PA",47
"CT000402, Philadelphia County, PA",115
"CT000500, Philadelphia County, PA",126
"CT000600, Philadelphia County, PA",54
"CT000700, Philadelphia County, PA",55
"CT000801, Philadelphia County, PA",1
"CT000803, Philadelphia County, PA",12
"CT000804, Philadelphia County, PA",34
"CT000901, Philadelphia County, PA",34
"CT000902, Philadelphia County, PA",8
"CT001001, Philadelphia County, PA",20
"CT001002, Philadelphia County, PA",16
"CT001101, Philadelphia County, PA",46
"CT001102, Philadelphia County, PA",33
"CT001201, Philadelphia County, PA",16
"CT001202, Philadelphia County, PA",18
"CT001300, Philadelphia County, PA",27
"CT001400, Philadelphia County, PA",21
"CT001500, Philadelphia County, PA",27
"CT001600, Philadelphia County, PA",19
"CT001700, Philadelphia County, PA",6
"CT001800, Philadelphia County, PA",11
"CT001900, Philadelphia County, PA",27
"CT002000, Philadelphia County, PA",6
"CT002100, Philadelphia County, PA",10
"CT002200, Philadelphia County, PA",15
"CT002300, Philadelphia County, PA",20
"CT002400, Philadelphia County, PA",67
"CT002500, Philadelphia County, PA",15
"CT002701, Philadelphia County, PA",7
"CT002702, Philadelphia County, PA",13
"CT002801, Philadelphia County, PA",13
"CT002802, Philadelphia County, PA",17
"CT002900, Philadelphia County, PA",36
"CT003001, Philadelphia County, PA",12
"CT003002, Philadelphia County, PA",5
"CT003100, Philadelphia County, PA",17
"CT003200, Philadelphia County, PA",21
"CT003300, Philadelphia County, PA",39
"CT003600, Philadelphia County, PA",26
"CT003701, Philadelphia County, PA",30
"CT003702, Philadelphia County, PA",21
"CT003800, Philadelphia County, PA",28
"CT003901, Philadelphia County, PA",30
"CT003902, Philadelphia County, PA",13
"CT004001, Philadelphia County, PA",30
"CT004002, Philadelphia County, PA",27
"CT004101, Philadelphia County, PA",43
"CT004102, Philadelphia County, PA",51
"CT004201, Philadelphia County, PA",26
"CT004202, Philadelphia County, PA",22
"CT005000, Philadelphia County, PA",1
"CT005400, Philadelphia County, PA",4
"CT005500, Philadelphia County, PA",3
"CT005600, Philadelphia County, PA",3
"CT006000, Philadelphia County, PA",29
"CT006100, Philadelphia County, PA",8
"CT006200, Philadelphia County, PA",28
"CT006300, Philadelphia County, PA",28
"CT006400, Philadelphia County, PA",17
"CT006500, Philadelphia County, PA",32
"CT006600, Philadelphia County, PA",39
"CT006700, Philadelphia County, PA",36
"CT006900, Philadelphia County, PA",11
"CT007000, Philadelphia County, PA",21
"CT007101, Philadelphia County, PA",25
"CT007102, Philadelphia County, PA",19
"CT007200, Philadelphia County, PA",32
"CT007300, Philadelphia County, PA",18
"CT007400, Philadelphia County, PA",47
"CT007700, Philadelphia County, PA",13
"CT007800, Philadelphia County, PA",22
"CT007900, Philadelphia County, PA",18
"CT008000, Philadelphia County, PA",38
"CT008101, Philadelphia County, PA",26
"CT008102, Philadelphia County, PA",25
